id,name,glottocode,year,map_name_full,sources
408,Timote,timo1237,1750,,titus
409,Guamo,guam1236,1750,,titus
410,Otomaco,otom1301,1750,,titus
411,Yaruro,,1750,,titus
412,Manajé,,1750,,titus
413,Pankarurú,,1750,,titus
414,Xukuru,,1750,,titus
415,Huamoi,,1750,,titus
416,Tushá,,1750,,titus
417,Katembri,,1750,,titus
418,Puri-Coroado,coro1249,1750,,titus
419,Txikāo,,1750,,titus
420,Suyá,,1750,,titus
421,Kuikúro-Kalapálo,kuik1246,1750,,titus
422,Kuikúro-Kalapálo,kuik1246,1750,,titus
423,Geico,geic1236,1750,,titus
424,Chané,,1750,,titus
425,Terêna,,1750,,titus
426,Guaná,,1750,,titus
427,Kadiwéu,kadi1248,1750,,titus
428,Zamuco,zamu1245,1750,,titus
429,Ayoreo,ayor1240,1750,,titus
430,Esmeralda,,1750,,titus
431,Kamsá,,1750,,titus
432,Andoquí,,1750,,titus
433,Quingnam,quig1235,1750,,titus
434,Muchik,,1750,,titus
435,Sec,,1750,,titus
436,Muniche,,1750,,titus
437,Hibito-Cholón,hibi1242,1750,,titus
438,Culli,cull1235,1750,,titus
439,Vilela,,1750,,titus
440,Baure,baur1253,1750,,titus
441,Canichana,,1750,,titus
442,Cayubaba,cayu1262,1750,,titus
443,Western Bolivian Paraguay,,1750,,titus
444,Otuké,,1750,,titus
445,Mehináku,,1750,,titus
446,Gorgotoqui,,1750,,titus
447,Siona-Tetete,sion1247,1750,,titus
448,Puinave,,1750,,titus
450,Macaguane,,1750,,titus
451,Sapé,,1750,,titus
452,Awaké,,1750,,titus
453,Kukura,,1750,,titus
454,Taruma,,1750,,titus
455,Bane,,1750,,titus
457,Lule,,1750,,titus
458,Proto-Jê,,1750,,titus
459,Cuniba,,1750,,titus
460,Ticuna,,1750,,titus
461,Yuri,,1750,,titus
462,Wainuma,,1750,,titus
463,Guarú,,1750,,titus
464,Yanomám,yano1262,1750,,titus
465,Capón,,1750,,titus
466,Nahukuá,,1750,,titus
467,Southern Nambikuára,sout2994,1750,,titus
468,Mamaindé,mama1278,1750,,titus
469,Chapacura,,1750,,titus
470,Urupá,,1750,,titus
471,Kwaza,kwaz1243,1750,,titus
472,Irantxe,,1750,,titus
473,Matanawí,,1750,,titus
474,Trumai,trum1247,1750,,titus
475,San Blas Kuna,sanb1242,1750,,titus
476,Bocota,bugl1243,1750,,titus
477,Guaimi,ngab1239,1750,,titus
478,Bribri,brib1243,1750,,titus
479,Bribri,brib1243,1750,,titus
480,Cabécar,cabe1245,1750,,titus
481,Guatuso,male1297,1750,,titus
482,Rama,rama1270,1750,,titus
483,Matagalpa,mata1288,1750,,titus
484,Mískito,misk1235,1750,,titus
485,Sumo,maya1285,1750,,titus
487,Yaqui,yaqu1251,1750,,titus
488,El Nayar Cora,elna1235,1750,,titus
489,Huichol,huic1243,1750,,titus
490,Central Tarahumara,cent2131,1750,,titus
491,Northern Tepehuan,nort2959,1750,,titus
492,Southeastern Tepehuan,sout2976,1750,,titus
493,Mayo,mayo1264,1750,,titus
494,Guerrero Amuzgo,guer1243,1750,,titus
495,Zapotec,zapo1436,1750,,titus
496,Chinantec,chin1484,1750,,titus
497,Yucatec Maya,yuca1254,1750,,titus
498,Huastec,huas1242,1750,,titus
499,Garifúna,,1750,,titus
500,Chortí,chor1273,1750,,titus
501,Tabasco Chontal,taba1266,1750,,titus
502,Chol,chol1282,1750,,titus
503,Totonac,toto1252,1750,,titus
504,Mezquital Otomi,mezq1235,1750,,titus
505,Mixtec,mixt1427,1750,,titus
506,Mixtec,mixt1427,1750,,titus
507,Lacandon,laca1243,1750,,titus
508,Tzotzil,tzot1259,1750,,titus
509,Tzeltal,tzel1254,1750,,titus
510,Tcholabal,tojo1241,1750,,titus
511,Mazahua,cent2144,1750,,titus
512,Xincan,xinc1237,1750,,titus
513,Tlapanec,subt1249,1750,,titus
514,San Juan Atzingo Popoloca,sanj1285,1750,,titus
515,Tarasca,tara1323,1750,,titus
516,Lenca,lenc1239,1750,,titus
517,Tz'utujil,tzut1248,1750,,titus
518,Mam,mamm1241,1750,,titus
519,K'iche',kich1262,1750,,titus
520,Poqomam,poqo1253,1750,,titus
521,Aguacateco,agua1252,1750,,titus
522,Uspantec,uspa1245,1750,,titus
523,Q'anjob'al,qanj1241,1750,,titus
524,Mocho,moch1257,1750,,titus
525,Kekchí,kekc1242,1750,,titus
526,Poqomchi',poqo1254,1750,,titus
527,Achi,achi1256,1750,,titus
528,Coatlán Mixe,coat1238,1750,,titus
529,Coatlán Mixe,coat1238,1750,,titus
530,Copainalá Zoque,copa1236,1750,,titus
531,Highland Popoluca,high1276,1750,,titus
532,Classical Nahuatl,clas1250,1750,,titus
533,Highland Puebla Nahuatl,high1278,1750,,titus
534,Morelos Nahuatl,more1259,1750,,titus
535,Michoacán Nahuatl,mich1245,1750,,titus
536,Tlaxcala-Puebla-Central Nahuatl,cent2132,1750,,titus
537,Eastern Huasteca Nahuatl,east2538,1750,,titus
538,Isthmus-Mecayapan Nahuatl,isth1242,1750,,titus
539,Pech,pech1241,1750,,titus
541,Eyak,eyak1241,1750,,titus
544,Beothuk,beot1247,1750,,titus
545,Northwest Alaska Iñupiatun,nort2945,1750,,asher_moseley_2007
546,Central Alaskan Yupik,cent2127,1750,,asher_moseley_2007
547,North Alaskan Iñupiatun,nort2943,1750,,asher_moseley_2007
549,Alutiiq,paci1278,1750,,asher_moseley_2007
550,Denaʼina,tana1289,1750,,asher_moseley_2007
552,Degexit'an,dege1248,1750,,asher_moseley_2007
553,Ahtna,ahte1237,1750,,asher_moseley_2007
555,South Slavey,sout2959,1750,,asher_moseley_2007 titus
556,North Slavey,nort2942,1750,,asher_moseley_2007 titus
557,Lower Tanana,lowe1425,1750,,asher_moseley_2007
558,Han,hann1241,1750,,asher_moseley_2007
559,Holicachuk,holi1241,1750,,asher_moseley_2007
560,Koyukon,koyu1237,1750,,asher_moseley_2007
