ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,carling2025diacl,,map,
201,Crimean Tatar,,,,crim1257,1750,carling2025diacl;titus,features,feature,map_1
202,Kumyk,,,,kumy1244,1750,carling2025diacl;titus,features,feature,map_1
203,Tabasaran,,,,taba1259,1750,carling2025diacl;titus,features,feature,map_1
204,Aghul,,,,aghu1253,1750,carling2025diacl;titus,features,feature,map_1
205,Tsakhur,,,,tsak1249,1750,carling2025diacl;titus,features,feature,map_1
206,Rutul,,,,rutu1240,1750,carling2025diacl;titus,features,feature,map_1
207,Azerbaijani,,,,nort2697,1750,carling2025diacl;titus,features,feature,map_1
208,Tuvan,,,,tuvi1240,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
209,Belarusian,,,,,1750,carling2025diacl;titus,features,feature,map_1
210,Slovak,,,,slov1269,1750,carling2025diacl;titus,features,feature,map_1
211,Southern Altai,,,,sout2694,1750,carling2025diacl;titus,features,feature,map_1
212,Bhili,,,,,1750,carling2025diacl;titus,features,feature,map_1
213,Central Dravidian,,,,cent2227,1750,carling2025diacl;titus,features,feature,map_1
214,Duruwa,,,,duru1236,1750,carling2025diacl;titus,features,feature,map_1
215,Kannada,,,,nucl1305,1750,carling2025diacl;titus,features,feature,map_1
216,Konda-Dora,,,,kond1295,1750,carling2025diacl;titus,features,feature,map_1
217,Kui,,,,kuii1252,1750,carling2025diacl;titus,features,feature,map_1
218,Kurukh,,,,kuru1302,1750,carling2025diacl;titus,features,feature,map_1
219,Malayalam,,,,mala1464,1750,carling2025diacl;titus,features,feature,map_1
220,Pottangi Ollar Gadaba,,,,pott1240,1750,carling2025diacl;titus,features,feature,map_1
221,Southeastern Kolami,,,,sout1549,1750,carling2025diacl;titus,features,feature,map_1
222,Tamil,,,,tami1289,1750,carling2025diacl;titus,features,feature,map_1
223,Telugu,,,,telu1262,1750,carling2025diacl;titus,features,feature,map_1
224,Mundaic,,,,mund1335,1750,carling2025diacl;titus,features,feature,map_1
225,East Yugur,,,,east2337,1750,carling2025diacl;titus,features,feature,map_1
226,Mongolian (Khalkha),,,,halh1238,1750,carling2025diacl;titus,features,feature,map_1
227,Khamnigan Mongol,,,,kham1281,1750,carling2025diacl;titus,features,feature,map_1
228,Kalmyk,,,,kalm1243,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
229,Peripheral Mongolian,,,,peri1253,1750,carling2025diacl;titus,features,feature,map_1
230,Buryat (Russia),,,,russ1264,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
231,Even,,,,even1260,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
232,Evenki,,,,even1259,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
233,Nanai,,,,nana1257,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
234,Udihe,,,,udih1248,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
235,Bashkir,,,,bash1264,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
236,Chuvash,,,,chuv1255,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
237,Kyrgyz,,,,kirg1245,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
238,Sakha,,,,yaku1245,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
