ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
ilwa1237,Ilwana,,-0.66322,39.793,ilwa1237,,1025,language,Atlantic-Congo,languages
indu1241,Indus Kohistani,,35.3389,73.0154,indu1241,,265,language,Indo-European,languages
ines1240,Ineseño,,34.6169,-120.08,ines1240,,690,language,Chumashan,languages
ingu1240,Ingush,,43.11,45.03,ingu1240,,190,language,Nakh-Daghestanian,languages
iowa1245,Iowa-Oto,,40.0511,-95.5213,iowa1245,,456,language,Siouan,languages
ipai1240,Ipai,,33.005,-116.993,ipai1240,,695,language,Cochimi-Yuman,languages
iraq1241,Iraqw,,-4.19948,35.2939,iraq1241,,259,language,Afro-Asiatic,languages
iris1253,Irish,,53.2186,-7.61509,iris1253,,55,language,Indo-European,languages
iron1242,Iron Ossetian,,42.98,44.61,iron1242,,91,language,Indo-European,languages
ishk1246,Ishkashimi,,36.67,71.55,ishk1246,,943,language,Indo-European,languages
isth1242,Isthmus-Mecayapan Nahuatl,,18.2,-94.7547,isth1242,,479,language,Uto-Aztecan,languages
ital1282,Italian,,43.0464,12.6489,ital1282,,112,language,Indo-European,languages
iton1250,Itonama,,-12.80431,-64.35748,iton1250,,122,language,,languages
izon1238,Izon,,5.17986,5.51702,izon1238,,275,language,Ijoid,languages
jama1261,Madi,,-7.62223,-66.5662,jama1261,,448,language,Arawan,languages
jaqa1244,Jaqaru,,-12.741939,-75.809231,jaqa1244,,518,language,Aymaran,languages
jebe1250,Jebero,,-5.40317,-76.4103,jebe1250,,641,language,Cahuapanan,languages
jica1244,Jicarilla Apache,,36.8079,-107.007,jica1244,,609,language,Athabaskan-Eyak-Tlingit,languages
jira1235,Jirajaran,,10.57,-69.7,jira1235,,800,language,,languages
juku1254,Jukun Takum,,7.20236,10.2576,juku1254,,272,language,Atlantic-Congo,languages
kaba1278,Kabardian,,43.5082,43.3918,kaba1278,,140,language,Abkhaz-Adyge,languages
kaba1281,Kaba,,7.64972,16.7344,kaba1281,,654,language,Central Sudanic,languages
kach1280,Southern Jinghpaw,,25.4634,97.3278,kach1280,,186,language,Sino-Tibetan,languages
kadi1248,Kadiwéu,,-19.7222,-57.582,kadi1248,,531,language,Guaicuruan,languages
kais1242,Kaishana,,-2.171598,-67.319199,kais1242,,786,language,Arawakan,languages
kala1381,Kalabari,,4.53194,6.69539,kala1381,,282,language,Ijoid,languages
kala1399,Kalaallisut,,69.3761,-52.864,kala1399,,680,language,Eskimo-Aleut,languages
kala1400,Central Kalapuya,,44.9861,-123.925,kala1400,,895,language,Kalapuyan,languages
kalm1243,Oirad-Kalmyk-Darkhat,,46.566667,45.316667,kalm1243,,228,language,Mongolic-Khitan,languages
kama1372,Kamakan,,-15.0,-41.0,kama1372,,749,language,Kamakanan,languages
kama1373,Kamayurá,,-12.2661,-53.4651,kama1373,,165,language,Tupian,languages
kamb1297,Kamba (Kenya),,-1.60827,37.9532,kamb1297,,306,language,Atlantic-Congo,languages
